,GDP,CPIAUCSL,UNRATE,FEDFUNDS,T10Y2Y,M2SL,BAA10Y
2019-01-01,21111.6,,,,,,
2019-02-01,,253.319,3.8,2.4,,14470.5,
2019-02-25,,,,,0.16,,2.23
2019-02-26,,,,,0.16,,2.24
2019-02-27,,,,,0.19,,2.25
2019-02-28,,,,,0.21,,2.22
2019-03-01,,254.277,3.8,2.41,0.21,14513.9,2.22
2019-03-04,,,,,0.17,,2.22
2019-03-05,,,,,0.17,,2.22
2019-03-06,,,,,0.17,,2.25
2019-03-07,,,,,0.17,,2.25
2019-03-08,,,,,0.17,,2.27
2019-03-11,,,,,0.17,,2.27
2019-03-12,,,,,0.16,,2.25
2019-03-13,,,,,0.16,,2.26
2019-03-14,,,,,0.17,,2.27
2019-03-15,,,,,0.16,,2.28
2019-03-18,,,,,0.15,,2.27
2019-03-19,,,,,0.15,,2.27
2019-03-20,,,,,0.14,,2.29
2019-03-21,,,,,0.13,,2.28
2019-03-22,,,,,0.13,,2.3
2019-03-25,,,,,0.17,,2.28
2019-03-26,,,,,0.17,,2.3
2019-03-27,,,,,0.17,,2.28
2019-03-28,,,,,0.16,,2.27
2019-03-29,,,,,0.14,,2.26
2019-04-01,21397.938,255.233,3.7,2.42,0.16,14548.1,2.24
2019-04-02,,,,,0.18,,2.24
2019-04-03,,,,,0.19,,2.23
2019-04-04,,,,,0.18,,2.22
2019-04-05,,,,,0.15,,2.22
2019-04-08,,,,,0.16,,2.21
2019-04-09,,,,,0.16,,2.19
2019-04-10,,,,,0.17,,2.21
2019-04-11,,,,,0.16,,2.2
2019-04-12,,,,,0.16,,2.15
2019-04-15,,,,,0.15,,2.15
2019-04-16,,,,,0.19,,2.12
2019-04-17,,,,,0.19,,2.13
2019-04-18,,,,,0.19,,2.12
2019-04-19,,,,,,,
2019-04-22,,,,,0.21,,2.14
2019-04-23,,,,,0.21,,2.14
2019-04-24,,,,,0.21,,2.14
2019-04-25,,,,,0.21,,2.14
2019-04-26,,,,,0.23,,2.13
2019-04-29,,,,,0.24,,2.13
2019-04-30,,,,,0.24,,2.14
2019-05-01,,255.296,3.6,2.39,0.21,14660.8,2.11
2019-05-02,,,,,0.2,,2.12
2019-05-03,,,,,0.21,,2.11
2019-05-06,,,,,0.2,,2.14
2019-05-07,,,,,0.17,,2.17
2019-05-08,,,,,0.19,,2.17
2019-05-09,,,,,0.19,,2.21
