"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2014","97.32","96.69","97.84","96.41","274.08K","0.61%"
"01/22/2014","96.73","95.20","96.89","95.12","252.35K","1.83%"
"01/21/2014","94.99","94.00","95.23","93.43","35.63K","1.12%"
"01/20/2014","93.93","94.31","94.31","93.66","","-0.46%"
"01/17/2014","94.37","94.17","94.94","93.94","119.89K","0.44%"
"01/16/2014","93.96","94.29","94.64","93.60","165.14K","-0.22%"
"01/15/2014","94.17","92.65","94.64","92.43","263.30K","1.71%"
"01/14/2014","92.59","91.51","92.88","91.50","243.47K","0.86%"
"01/13/2014","91.80","92.83","92.88","91.43","212.21K","-0.99%"
"01/10/2014","92.72","92.30","93.38","91.99","255.99K","1.16%"
"01/09/2014","91.66","92.58","92.93","91.24","255.78K","-0.73%"
"01/08/2014","92.33","93.96","94.18","92.26","244.86K","-1.43%"
"01/07/2014","93.67","93.60","94.22","93.35","177.18K","0.26%"
"01/06/2014","93.43","94.18","94.59","93.20","189.38K","-0.56%"
"01/03/2014","93.96","95.47","95.74","93.86","215.52K","-1.55%"
"01/02/2014","95.44","98.50","98.97","95.34","251.25K","-3.30%"
"01/01/2014","98.70","98.61","98.76","98.54","","0.28%"
"12/31/2013","98.42","99.25","99.39","98.15","113.91K","-0.88%"
"12/30/2013","99.29","100.15","100.42","99.13","118.36K","-1.03%"
"12/27/2013","100.32","99.63","100.75","99.37","127.20K","0.77%"
"12/26/2013","99.55","99.20","99.70","99.05","65.67K","0.33%"
"12/24/2013","99.22","98.62","99.30","98.53","51.88K","0.31%"
"12/23/2013","98.91","99.20","99.31","98.64","107.27K","-0.41%"
"12/20/2013","99.32","98.70","99.40","98.54","151.28K","0.56%"
"12/19/2013","98.77","97.69","99.17","97.50","23.58K","0.99%"
"12/18/2013","97.80","97.30","98.01","97.02","84.63K","0.60%"
"12/17/2013","97.22","97.30","97.90","97.00","120.13K","-0.27%"
"12/16/2013","97.48","96.55","97.69","96.21","187.59K","0.91%"
"12/13/2013","96.60","97.58","97.62","96.26","233.16K","-0.92%"
"12/12/2013","97.50","97.55","98.18","97.31","205.75K","0.06%"
