"Date","Price","Open","High","Low","Change %"
"01/23/2014","3.684","3.766","3.766","3.661","-2.07%"
"01/22/2014","3.762","3.743","3.766","3.734","0.32%"
"01/21/2014","3.750","3.750","3.778","3.734","0.00%"
"01/20/2014","3.750","3.751","3.751","3.750","-0.03%"
"01/17/2014","3.751","3.772","3.788","3.746","-0.58%"
"01/16/2014","3.773","3.822","3.824","3.769","-1.33%"
"01/15/2014","3.824","3.806","3.835","3.797","0.53%"
"01/14/2014","3.804","3.784","3.806","3.773","0.77%"
"01/13/2014","3.775","3.798","3.809","3.763","-0.71%"
"01/10/2014","3.802","3.883","3.891","3.795","-2.01%"
"01/09/2014","3.880","3.889","3.908","3.866","-0.36%"
"01/08/2014","3.894","3.888","3.932","3.884","0.21%"
"01/07/2014","3.886","3.902","3.907","3.880","-0.41%"
"01/06/2014","3.902","3.941","3.942","3.879","-0.61%"
"01/03/2014","3.926","3.917","3.951","3.908","0.08%"
"01/02/2014","3.923","3.965","3.983","3.909","-1.04%"
"01/01/2014","3.964","3.964","3.964","3.964","0.00%"
"12/31/2013","3.964","3.908","3.974","3.898","1.56%"
"12/30/2013","3.903","4.001","4.001","3.895","-0.94%"
"12/27/2013","3.940","3.925","3.950","3.908","0.36%"
"12/26/2013","3.926","3.912","3.931","3.890","0.40%"
"12/25/2013","3.910","3.897","3.910","3.897","0.34%"
"12/24/2013","3.897","3.851","3.902","3.834","1.19%"
"12/23/2013","3.851","3.812","3.853","3.779","0.63%"
"12/20/2013","3.827","3.922","3.922","3.814","-2.15%"
"12/19/2013","3.911","3.898","3.918","3.883","0.10%"
"12/18/2013","3.907","3.872","3.953","3.847","1.03%"
"12/17/2013","3.867","3.889","3.917","3.867","-0.74%"
"12/16/2013","3.896","3.874","3.901","3.842","0.54%"
"12/13/2013","3.875","3.893","3.910","3.866","-0.51%"
"12/12/2013","3.895","3.886","3.905","3.863","0.21%"
"12/11/2013","3.887","3.852","3.888","3.836","1.22%"
"12/10/2013","3.840","3.875","3.878","3.827","-0.83%"
"12/09/2013","3.872","3.897","3.899","3.869","-0.46%"
"12/06/2013","3.890","3.919","3.980","3.882","-0.66%"
"12/05/2013","3.916","3.901","3.925","3.883","0.33%"
"12/04/2013","3.903","3.851","3.916","3.843","1.48%"
"12/03/2013","3.846","3.861","3.867","3.828","-0.31%"
"12/02/2013","3.858","3.825","3.869","3.824","1.07%"
"11/29/2013","3.817","3.821","3.842","3.804","-0.16%"
"11/28/2013","3.823","3.815","3.823","3.815","0.16%"
"11/27/2013","3.817","3.806","3.842","3.795","0.45%"
"11/26/2013","3.800","3.806","3.822","3.784","-0.52%"
"11/25/2013","3.820","3.835","3.854","3.812","-0.34%"
"11/22/2013","3.833","3.887","3.899","3.828","-1.44%"
"11/21/2013","3.889","3.927","3.938","3.879","-0.69%"
"11/20/2013","3.916","3.803","3.917","3.784","2.94%"
"11/19/2013","3.804","3.757","3.808","3.749","1.25%"
"11/18/2013","3.757","3.804","3.809","3.751","-1.03%"
"11/15/2013","3.796","3.794","3.820","3.787","0.18%"
"11/14/2013","3.789","3.818","3.825","3.763","-0.97%"
"11/13/2013","3.826","3.859","3.861","3.812","-0.80%"
"11/12/2013","3.857","3.872","3.887","3.848","-0.38%"
"11/11/2013","3.872","3.869","3.874","3.869","0.62%"
"11/08/2013","3.848","3.713","3.855","3.705","3.80%"
"11/07/2013","3.707","3.778","3.783","3.704","-1.83%"
"11/06/2013","3.776","3.771","3.787","3.752","0.13%"
"11/05/2013","3.771","3.696","3.773","3.687","2.08%"
"11/04/2013","3.694","3.695","3.705","3.672","0.00%"
"11/01/2013","3.694","3.643","3.702","3.637","1.51%"
"10/31/2013","3.639","3.645","3.659","3.610","-0.08%"
"10/30/2013","3.642","3.617","3.656","3.590","0.80%"
"10/29/2013","3.613","3.615","3.634","3.601","-0.14%"
"10/28/2013","3.618","3.601","3.621","3.590","0.47%"
"10/25/2013","3.601","3.614","3.614","3.585","-0.33%"
"10/24/2013","3.613","3.591","3.615","3.565","0.64%"
"10/23/2013","3.590","3.608","3.613","3.567","-0.58%"
"10/22/2013","3.611","3.675","3.682","3.601","-1.66%"
"10/21/2013","3.672","3.654","3.689","3.647","0.63%"
"10/18/2013","3.649","3.666","3.672","3.617","-0.33%"
"10/17/2013","3.661","3.730","3.730","3.650","-1.64%"
"10/16/2013","3.722","3.799","3.804","3.715","-1.61%"
"10/15/2013","3.783","3.796","3.797","3.749","-0.35%"
"10/14/2013","3.796","3.795","3.796","3.794","1.37%"
"10/11/2013","3.745","3.734","3.749","3.697","0.32%"
"10/10/2013","3.733","3.744","3.787","3.730","-0.08%"
"10/09/2013","3.736","3.692","3.744","3.685","1.14%"
"10/08/2013","3.694","3.695","3.726","3.678","-0.03%"
"10/07/2013","3.695","3.719","3.721","3.685","-0.65%"
"10/04/2013","3.719","3.730","3.740","3.710","0.35%"
"10/03/2013","3.706","3.704","3.733","3.679","0.11%"
"10/02/2013","3.702","3.722","3.726","3.673","-0.38%"
"10/01/2013","3.716","3.688","3.733","3.685","0.65%"
"09/30/2013","3.692","3.680","3.704","3.656","0.16%"
"09/27/2013","3.686","3.698","3.718","3.668","-0.32%"
"09/26/2013","3.698","3.676","3.701","3.665","0.87%"
"09/25/2013","3.666","3.671","3.693","3.642","-0.08%"
